Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,PCA1,PCA2,Grade Category,Cluster
1.0,0.0,0.75,0.8,0.4,0.5,0.5,0.8333333333333333,0.6666666666666666,65.0,-4.1055118200601886,1.645719379611351,Medium,1
0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.6666666666666666,90.0,-3.4895050880280762,-4.001224100282101,High,0
1.0,0.0,0.25,0.6000000000000001,0.4,0.5,0.25,0.3333333333333333,0.16666666666666666,70.0,-3.9906745063825477,-0.44924751973466037,Medium,1
1.0,0.0,1.0,1.0,0.6000000000000001,0.5,1.0,1.0,1.0,80.0,-4.441445776167196,3.5486096308461654,Medium,1
1.0,0.0,1.0,0.6000000000000001,0.4,0.5,0.75,1.0,1.0,65.0,-4.020214871458588,1.6465197278091708,Medium,1
0.0,0.0,0.75,1.0,0.2,0.5,1.0,0.8333333333333333,0.8333333333333333,90.0,-4.27925154536106,1.998511873128069,High,2
1.0,0.0,1.0,0.6000000000000001,0.6000000000000001,0.5,0.75,0.6666666666666666,0.8333333333333333,70.0,-4.226392281249492,1.8938295355238086,Medium,1
1.0,0.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,92.0,-4.525128849045593,4.383306991271876,High,1
0.0,0.0,1.0,1.0,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,85.0,-4.342241720765167,2.706040120253128,High,2
1.0,0.0,1.0,0.8,0.4,0.5,0.5,0.8333333333333333,0.8333333333333333,93.0,-4.140669577813366,2.1960122677386487,High,1
1.0,0.0,1.0,0.8,0.4,0.5,0.5,0.5,0.3333333333333333,77.0,-4.331220889641748,1.8565659497202578,Medium,1
1.0,0.0,1.0,0.8,0.4,0.5,0.25,0.3333333333333333,0.5,93.0,-4.256827043261803,1.8418295602716332,High,1
0.0,0.0,0.75,1.0,0.2,0.5,0.25,0.5,0.5,50.0,-4.182894729554525,1.6302242031904717,Low,2
1.0,0.0,1.0,0.2,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,55.0,-3.8393306656558823,-0.08422985375947967,Low,1
0.0,0.0,0.25,1.0,0.2,0.5,0.25,0.3333333333333333,0.16666666666666666,93.0,-4.156600936289864,0.47386949729612216,High,2
1.0,0.0,1.0,0.2,0.8,0.5,0.25,0.6666666666666666,0.6666666666666666,50.0,-3.92301373853428,0.7504675066662312,Low,1
1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333333,0.5,65.0,-4.587412159125643,4.064692656838071,Medium,1
1.0,0.0,1.0,0.2,0.6000000000000001,0.5,0.25,0.6666666666666666,0.6666666666666666,50.0,-3.8390490623417617,0.3156503534257924,Low,1
1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666,60.0,-3.338605794786022,-4.11306695838165,Low,0
0.0,0.0,0.25,0.8,0.6000000000000001,0.5,0.25,0.5,0.16666666666666666,70.0,-4.153998591928483,0.6831048315460597,Medium,2
0.0,0.0,0.25,0.8,0.4,0.5,0.5,0.5,0.5,95.0,-4.085941617012606,0.4351635968533767,High,2
1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,100.0,-3.144257317980893,-3.6271458350285863,High,0
0.0,0.0,0.5,1.0,0.2,0.5,0.5,0.5,0.3333333333333333,80.0,-4.231983251307987,1.1148682611183398,Medium,2
0.0,0.0,0.25,0.4,0.2,0.5,0.5,0.3333333333333333,0.3333333333333333,90.7,-3.8271480031673297,-1.5637277760144972,High,2
0.0,0.0,0.5,0.6000000000000001,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,78.0,-3.9505676780193655,0.32505751274973527,Medium,2
0.0,0.0,0.25,0.4,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,60.0,-3.6707659804539468,-1.3002509442424013,Low,2
1.0,0.0,0.25,1.0,0.4,0.5,0.75,0.8333333333333333,0.6666666666666666,95.0,-4.1776139803352015,1.4481774237752063,High,1
